Major,Class Name,Class Code,Instructor,Location,Days & Times
Accounting,ACCT  204 - Principles of Financial Accounting,43050,Alan Styles,Markstein Hall 101,We 4:30PM - 6:20PM
Accounting,ACCT  301 - Intermediate Accounting I,41836,Alan Styles,Markstein Hall 101,TuTh 1:00PM - 2:50PM
Accounting,ACCT  302 - Intermediate Accounting II,41710,Alan Styles,Markstein Hall 101,We 12:30PM - 2:20PM
Accounting,ACCT  306 - Cost Accounting,41707,Claude Ognibene,Markstein Hall 101,MoWe 6:30PM - 8:20PM
Accounting,ACCT  307 - Tax Accounting,41708,Katherine Yan,Markstein Hall 101,MoWe 10:30AM - 12:20PM
Accounting,ACCT  308 - Accounting Information and Systems,41705,Yushi Tian,Markstein Hall 101,MoWe 8:30AM - 10:20AM
Accounting,ACCT  416 - Auditing,41706,Benjamin Hubbard,Markstein Hall 101,TuTh 3:00PM - 4:50PM
Accounting,ACCT  424 - Accounting Ethics,41711,Marco Casalins,Kellogg Library 5102,Tu 7:00PM - 9:50PM
Accounting,ACCT  601 - Principles of Accounting for Managers,43327,Benjamin Hubbard,Markstein Hall 104,Mo 5:30PM - 8:15PM
Arabic,ARAB  101 - Beginning Arabic I,41283,Fatim-Zahra Samir,Markstein Hall 213,MoWe 5:30PM - 6:45PM
Arabic,ARAB  102 - Beginning Arabic II,43973,Fatim-Zahra Samir,Academic Hall 315,TuTh 10:30AM - 11:45AM
Art Media and Design,AMD  105 - Digital Photography,41557,Nancy diBenedetto,Arts Building 239,Mo 2:30PM - 4:20PM
Art Media and Design,AMD  105 - Digital Photography,41558,Nancy diBenedetto,Arts Building 239,Mo 4:30PM - 6:20PM
Art Media and Design,AMD  340 - Museum and Curatorial Practice,44112,Tatiana Sizonenko,Arts Building 220,Fr 12:30PM - 3:20PM
Biological Sciences,BIOL  101 - Welcome to Biological Sciences,44218,James Jancovich,Soc & Behavioral Sci Bldg 2111,Fr 10:30AM - 11:20AM
Biological Sciences,BIOL  210 - Introduction to Cellular and Molecular Biology,42130,Sujal Phadke,Kellogg Library 1111,TuTh 4:00PM - 5:15PM
Biological Sciences,BIOL  210 - Introduction to Cellular and Molecular Biology,42450,Sujal Phadke,Science Hall II 157,We 9:30AM - 12:20PM
Biological Sciences,BIOL  210 - Introduction to Cellular and Molecular Biology,42451,Khoosheh Gosink,Science Hall II 157,Th 9:30AM - 12:20PM
Biological Sciences,BIOL  210 - Introduction to Cellular and Molecular Biology,42174,Patricia Byrne,Soc & Behavioral Sci Bldg 2111,TuTh 9:00AM - 10:15AM
Biological Sciences,BIOL  210 - Introduction to Cellular and Molecular Biology,42589,Khoosheh Gosink,Science Hall II 157,Th 2:00PM - 4:50PM
Biological Sciences,BIOL  210A - Cellular and Molecular Biology Tutorial,42452,Jane Kim,Science Hall II 157,Tu 8:30AM - 9:20AM
Biological Sciences,BIOL  210A - Cellular and Molecular Biology Tutorial,42590,Sujal Phadke,Science Hall II 157,We 1:00PM - 1:50PM
Biological Sciences,BIOL  210A - Cellular and Molecular Biology Tutorial,42861,Khoosheh Gosink,Science Hall II 157,Th 1:00PM - 1:50PM
Biological Sciences,BIOL  211A - Organismal and Population Biology Tutorial,42863,Diana Garcia Montiel,Science Hall 212,Fr 1:00PM - 1:50PM
Biological Sciences,BIOL  211A - Organismal and Population Biology Tutorial,42625,John Eme,Science Hall 212,We 8:00AM - 8:50AM
Biological Sciences,BIOL  211A - Organismal and Population Biology Tutorial,42627,Erika Diaz Almeyda,Science Hall 212,Fr 8:00AM - 8:50AM
Biological Sciences,BIOL  211A - Organismal and Population Biology Tutorial,42784,Diana Garcia Montiel,Science Hall 212,Mo 1:00PM - 1:50PM
Biological Sciences,BIOL  215 - Experimental Design and Statistical Analysis,44220,James Jancovich,Synchronous Virtual Instr,TuTh 9:00AM - 10:50AM
Biological Sciences,BIOL  360 - Pedagogy and Learning in Biology,42868,Suzanne Hizer,Viasat Engineering Pav 5107,Mo 5:30PM - 7:20PM
Biological Sciences,BIOL  488 - Seminar in Biomedical Research,42666,Denise Garcia,Arts Building 240,Fr 12:30PM - 3:20PM
Biological Sciences,BIOL  522 - Biological Oceanography,42980,Darcy Taniguchi,University Hall 441,TuTh 1:00PM - 2:15PM
Biological Sciences,BIOL  536 - Biogeochemical Cycles and Global Change,42981,George Vourlitis,Academic Hall 408,MoWe 4:00PM - 5:15PM
Biological Sciences,BIOL  563 - Seminar in Physiology,42092,Casey Mueller,Science Hall II 243,Fr 9:30AM - 12:20PM
Biological Sciences,BIOL  575 - Salt and Water Balance Physiology,42983,Dennis Kolosov,University Hall 440,TuTh 9:00AM - 10:15AM
Biological Sciences,BIOL  600 - Scientific Communication,41885,Julie Jameson,Academic Hall 402,Mo 9:30AM - 12:20PM
Border & Reg. Studies,BRS  300 - Borders: Interdisciplinary Perspectives,43168,Rich Schultz,Soc & Behavioral Sci Bldg 1105,TuTh 5:30PM - 6:45PM
Business Administration,BUS  204 - Business Statistics,41719,Matthew Tasooji,Markstein Hall 304,We 7:30AM - 10:20AM
Business Administration,BUS  322 - Introduction to Data Analytics,41721,Bill Burns,Markstein Hall 305,We 8:30AM - 10:20AM
Business Administration,BUS  322 - Introduction to Data Analytics,41858,Maryam Hassanlou,Markstein Hall 305,Fr 10:30AM - 12:20PM
Business Administration,BUS  322 - Introduction to Data Analytics,43126,To be Announced,Mt San Jacinto College 219,We 12:30PM - 2:20PM
Business Administration,BUS  442 - Business Strategy,44098,Alan Lerchbacker,Kellogg Library 5102,We 12:30PM - 2:20PM
Business Administration,BUS  495 - Senior Experience,40157,Roger Herzler,Synchronous Virtual Instr,Th 5:00PM - 8:50PM
Business Administration,BUS  495 - Senior Experience,40106,Roger Herzler,Synchronous Virtual Instr,Fr 2:30PM - 6:20PM
Business Administration - MBA,BA   71 - Workshops,41703,To be Announced,Markstein Hall 104,Sa 12:30PM - 3:15PM | Sa 9:00AM - 11:45AM
Business Administration - MBA,BA  601 - MBA Bridge,43242,Mohammad Oskoorouchi | Catalin Ratiu | David Grooms | Melissa Simnitt,Markstein Hall 104,MoTuWeTh 5:30PM - 8:15PM
Business Administration - MBA,BA  602 - Statistics for Business Decisions,43243,Mohammad Oskoorouchi,Markstein Hall 104,MoWe 5:30PM - 8:15PM
Business Administration - MBA,BA  611 - Financial Accounting,41695,David DeBoskey | Marco Casalins,Markstein Hall 104 | Synchronous Virtual Instr,Sa 9:00AM - 11:45AM | Sa 12:30PM - 3:15PM | We 7:00PM - 9:45PM
Business Administration - MBA,BA  625 - Business Analytics,41698,Bill Burns,Markstein Hall 103,Sa 9:00AM - 11:45AM | Sa 12:30PM - 3:15PM
Business Administration - MBA,BA  626 - Financial Decision Making,41696,Shawn Park,Markstein Hall 104 | Synchronous Virtual Instr,Sa 9:00AM - 11:45AM | Sa 12:30PM - 3:15PM | We 7:00PM - 9:45PM
Business Administration - MBA,BA  630 - Marketing Management,41697,Paul Barton,Markstein Hall 104 | Asynchronous Virtual Instr,Sa 9:00AM - 11:45AM | Sa 12:30PM - 3:15PM | We 7:00PM - 9:45PM
Business Administration - MBA,BA  635 - Information Technologies and Management,41699,To be Announced,Markstein Hall 103,Sa 12:30PM - 3:15PM | Sa 9:00AM - 11:45AM
Business Administration - MBA,BA  671 - Essential Knowledge and Critical Skills Workshops,41701,Mohammad Oskoorouchi,Markstein Hall 103,Sa 9:00AM - 11:45AM | Sa 12:30PM - 3:15PM
Business Administration - MBA,BA  680 - Master&#039;s Project,41700,Roger Herzler,Markstein Hall 310,We 7:00PM - 9:45PM
Chemistry,CHEM  101 - Preparatory Chemistry,42447,Alexander Buyanin,Soc & Behavioral Sci Bldg 1103,MoWeFr 8:30AM - 9:20AM
Chemistry,CHEM  150 - General Chemistry l,42696,Alfred Aberle,Academic Hall 305,MoWeFr 8:30AM - 9:20AM
Chemistry,CHEM  150 - General Chemistry l,42699,Alfred Aberle,Academic Hall 315,Mo 1:30PM - 2:20PM
Chemistry,CHEM  150 - General Chemistry l,42701,Alfred Aberle,Academic Hall 315,Mo 3:30PM - 4:20PM
Chemistry,CHEM  150 - General Chemistry l,42702,Sajith Jayasinghe,Science Hall II 242,MoWeFr 9:30AM - 10:20AM
Chemistry,CHEM  150 - General Chemistry l,42704,Sajith Jayasinghe,Soc & Behavioral Sci Bldg 2101,We 2:30PM - 3:20PM
Chemistry,CHEM  150 - General Chemistry l,42705,Wei Hao Huang,Academic Hall 304,MoWeFr 10:30AM - 11:20AM
Chemistry,CHEM  150 - General Chemistry l,42707,Wei Hao Huang,Soc & Behavioral Sci Bldg 2101,Mo 2:30PM - 3:20PM
Chemistry,CHEM  150 - General Chemistry l,42708,Wei Hao Huang,University Hall 271,Mo 3:30PM - 4:20PM
Chemistry,CHEM  150 - General Chemistry l,42712,Jackaline Julien,Soc & Behavioral Sci Bldg 2140,We 3:30PM - 4:20PM
Chemistry,CHEM  150 - General Chemistry l,42713,Wei Hao Huang,Science Hall II 242,MoWeFr 7:30AM - 8:20AM
Chemistry,CHEM  150 - General Chemistry l,42714,Wei Hao Huang,Soc & Bhvrl Sci Bldg 3125 Lect,Fr 12:30PM - 1:20PM
Chemistry,CHEM  150 - General Chemistry l,42715,Wei Hao Huang,Soc & Behavioral Sci Bldg 1101,Fr 1:30PM - 2:20PM
Chemistry,CHEM  150 - General Chemistry l,42716,Wei Hao Huang,Science Hall II 243,Fr 2:30PM - 3:20PM
Chemistry,CHEM  160 - General Chemistry II,42448,Wei Hao Huang,Science Hall II 243,MoWeFr 8:30AM - 9:20AM
Chemistry,CHEM  160 - General Chemistry II,42449,Haleh Keshtkar,Soc & Behavioral Sci Bldg 2111,MoWeFr 1:30PM - 2:20PM
Chemistry,CHEM  160 - General Chemistry II,42551,Alexander Buyanin,Soc & Behavioral Sci Bldg 2111,MoWeFr 11:30AM - 12:20PM
Chemistry,CHEM  162 - Enhanced General Chemistry II,42455,Alexander Buyanin,Soc & Behavioral Sci Bldg 2111,MoWeFr 9:30AM - 10:20AM
Chemistry,CHEM  162 - Enhanced General Chemistry II,42457,Alexander Buyanin,Science Hall II 243,Fr 1:30PM - 2:20PM
Chemistry,CHEM  201 - Organic Chemistry,42296,Jackaline Julien,Soc & Behavioral Sci Bldg 2111,MoWeFr 8:30AM - 9:20AM
Chemistry,CHEM  201 - Organic Chemistry,42297,Jackaline Julien,Soc & Behavioral Sci Bldg 1103,MoWeFr 9:30AM - 10:20AM
Chemistry,CHEM  201L - Organic Chemistry Laboratory,42270,Selakilli Thiyagarajah,Science Hall II 351,Sa 9:00AM - 2:45PM
Chemistry,CHEM  202 - Organic Chemistry,43478,Jesus Cordova,Extended Lrn Bldg 370,Tu 5:30PM - 8:20PM
Chemistry,CHEM  202L - Organic Chemistry Laboratory,43480,Reinaldo Compagnone,Science Hall 110,Fr 5:30PM - 10:15PM
Chemistry,CHEM  311 - Chemicals and the Environment,42238,Selakilli Thiyagarajah,Academic Hall 305,Mo 11:30AM - 2:20PM
Chemistry,CHEM  316 - Chocolate: A Chemical Investigation,42253,Robyn Araiza,Academic Hall 304,TuTh 2:30PM - 3:45PM
Chemistry,CHEM  341 - General Biochemistry,43479,Kambiz Hamadani,Extended Learning Building 431,We 5:30PM - 8:20PM
Chemistry,CHEM  401 - Physical Chemistry --- Classical,43042,Afra Panahi,Science Hall II 243,MoWeFr 12:30PM - 1:20PM
Chemistry,CHEM  401 - Physical Chemistry --- Classical,43137,Afra Panahi,Science Hall II 243,We 1:30PM - 2:20PM
Chemistry,CHEM  402 - Physical Chemistry --- Quantum,44152,Paul Jasien,Synchronous Virtual Instr | University Hall 441,We 10:30AM - 11:20AM | MoFr 10:30AM - 11:20AM
Chemistry,CHEM  416 - Instrumental Methods of Analysis - Separations and Structure,42726,Ezequiel Vidal,Kellogg Library 1104,MoWeFr 9:30AM - 10:20AM
Chemistry,CHEM  416 - Instrumental Methods of Analysis - Separations and Structure,42727,Ezequiel Vidal,Science Hall 111,Mo 12:30PM - 5:15PM
Chemistry,CHEM  416 - Instrumental Methods of Analysis - Separations and Structure,42728,Alexander Estrada,Science Hall 111,Tu 12:30PM - 5:15PM
Chemistry,CHEM  491-6 - ST: Python for Biochemistry and Chemistry,44136,Sajith Jayasinghe,Synchronous Virtual Instr | Academic Hall 315,Th 3:00PM - 4:50PM
Chemistry,CHEM  493-2 - ST: Green Chemistry,43959,Haleh Keshtkar,Soc & Behavioral Sci Bldg 4119,MoWe 4:00PM - 5:15PM
Chemistry,CHEM  502 - Advanced Organic Synthesis,43232,Robert Iafe,Soc & Bhvrl Sci Bldg 3125 Lect,MoWe 5:30PM - 6:45PM
Chemistry,CHEM  532 - Medicinal Chemistry,43233,Moorthy Palanki,Academic Hall 404,Tu 5:00PM - 6:50PM
Chemistry,CHEM  690 - Graduate Student Seminar in Chemistry and Biochemistry,41957,Jesus Cordova,Soc & Bhvrl Sci Bldg 3125 Lect,Th 5:00PM - 5:50PM
Chemistry,CHEM  691 - Graduate Student Colloquium in Chemistry and Biochemistry,43234,Jesus Cordova,Soc & Bhvrl Sci Bldg 3125 Lect,Th 5:00PM - 5:50PM
Child and Adolescent Developme,CHAD  370 - Risk and Resiliency in Childhood and Adolescence,43103,Janice Phung,Soc & Behavioral Sci Bldg 3127,Mo 2:30PM - 5:20PM
Child and Adolescent Developme,CHAD  491 - Children | Adolescents | and Social Policy,43066,Aleksandria Grabow,Academic Hall 411B,Tu 1:00PM - 3:50PM
Child and Adolescent Developme,CHAD  491 - Children | Adolescents | and Social Policy,43104,Aleksandria Grabow,Soc & Behavioral Sci Bldg 3127,Tu 4:00PM - 6:50PM
Child and Adolescent Developme,CHAD  496 - Observation and Assessment Laboratory in Child and Adolescent Development,43069,Allison Jobin,Soc & Behavioral Sci Bldg 1101,Tu 9:00AM - 11:50AM
Child and Adolescent Developme,CHAD  496 - Observation and Assessment Laboratory in Child and Adolescent Development,43099,Yu Zhang,Soc & Behavioral Sci Bldg 1101,We 8:30AM - 11:20AM
Child and Adolescent Developme,CHAD  496 - Observation and Assessment Laboratory in Child and Adolescent Development,43101,Yu Zhang,Soc & Behavioral Sci Bldg 1101,Th 9:00AM - 11:50AM
Communication,COMM  390 - Research Methods and Design,41593,Katherine Brown,University Hall 443,MoWe 2:30PM - 3:45PM
Communication,COMM  444 - Narratives in Organizations,41510,Katherine Brown,University Hall 443,Mo 11:30AM - 2:20PM
Computer Information Systems,CIS  100 - Introduction to Computer Information Systems,42847,Jing Hou,Markstein Hall 309,Tu 10:00AM - 10:50AM
Computer Science,CS  111 - Computer Science I,42599,Youwen Ouyang,Viasat Engineering Pav 5101,MoWeFr 10:30AM - 11:20AM
Computer Science,CS  111 - Computer Science I,42848,Youwen Ouyang,Academic Hall 206,MoWeFr 12:30PM - 1:20PM
Computer Science,CS  111 - Computer Science I,42601,Michael Tutberidze,Viasat Engineering Pav 5101,TuTh 7:30AM - 8:45AM
Computer Science,CS  111 - Computer Science I,42602,Kazumi Slott,Science Hall II 302,TuTh 10:30AM - 11:45AM
Computer Science,CS  111 - Computer Science I,42603,Kazumi Slott,Science Hall II 302,TuTh 1:00PM - 2:15PM
Computer Science,CS  111 - Computer Science I,42604,Kazumi Slott,Viasat Engineering Pav 5101,MoWeFr 9:30AM - 10:20AM
Computer Science,CS  111 - Computer Science I,42605,Kazumi Slott,Science Hall II 302,MoWeFr 10:30AM - 11:20AM
Computer Science,CS  111 - Computer Science I,42606,Kazumi Slott,Science Hall II 302,MoWeFr 11:30AM - 12:20PM
Computer Science,CS  111 - Computer Science I,42607,Lanier Castillo,Viasat Engineering Pav 5101,MoWeFr 8:30AM - 9:20AM
Computer Science,CS  111 - Computer Science I,42609,Lanier Castillo,Science Hall II 302,MoWeFr 9:30AM - 10:20AM
Computer Science,CS  201 - Introduction to Data Science for Social Scientists,42773,Youwen Ouyang,University Hall 272,MoWe 2:30PM - 3:45PM
Computer Science,CS  211 - Computer Science II,42614,Rika Yoshii,Viasat Engineering Pav 5101,TuTh 10:30AM - 11:45AM
Computer Science,CS  211 - Computer Science II,42616,Michael Tutberidze,University Hall 272,TuTh 1:00PM - 2:15PM
Computer Science,CS  211 - Computer Science II,42617,Michael Tutberidze,Viasat Engineering Pav 5107,TuTh 5:30PM - 6:45PM
Computer Science,CS  211 - Computer Science II,42618,Lanier Castillo,Viasat Engineering Pav 5101,MoWeFr 11:30AM - 12:20PM
Computer Science,CS  211 - Computer Science II,42620,Lanier Castillo,University Hall 272,MoWeFr 12:30PM - 1:20PM
Computer Science,CS  231 - Assembly Language and Digital Circuits,42339,Sahar Mosleh,Viasat Engineering Pav 5101,MoWeFr 12:30PM - 1:20PM
Computer Science,CS  231 - Assembly Language and Digital Circuits,42340,Sahar Mosleh,Science Hall II 302,MoWe 4:00PM - 5:15PM
Computer Science,CS  231 - Assembly Language and Digital Circuits,42346,Sahar Mosleh,Science Hall II 302,MoWe 5:30PM - 6:45PM
Computer Science,CS  321 - Programming For Data Science,42853,Sreedevi Gutta,Academic Hall 206,MoWeFr 10:30AM - 11:20AM
Computer Science,CS  331 - Computer Architecture,44123,Marcus Chen,Markstein Hall 102,TuTh 5:30PM - 6:45PM
Computer Science,CS  370 - Introduction to Software Engineering,42789,Yang Yue,Academic Hall 205,MoWe 11:30AM - 12:20PM
Computer Science,CS  370 - Introduction to Software Engineering,42790,Yang Yue,University Hall 272,MoWe 5:30PM - 6:45PM
Computer Science,CS  500 - Research Preparation in Computer Science,42068,Md Lutfor Rahman,Academic Hall 405,Mo 11:30AM - 12:20PM
Computer Science,CS  512 - Introduction to Data Mining,42076,Ahmad Hadaegh,Academic Hall 209,MoWe 5:30PM - 6:45PM
Computer Science,CS  537 - Data Communication and Computer Networks,41968,Nahid Ebrahimi Majd,Academic Hall 206,TuTh 9:00AM - 10:15AM
Computer Science,CS  542 - Design Patterns and Object-Oriented Analysis,41969,Yongjie Zheng,University Hall 272,TuTh 2:30PM - 3:45PM
Computer Science,CS  650 - Usable Security and Privacy,42859,Md Lutfor Rahman,Markstein Hall 208,MoWeFr 10:30AM - 11:20AM
Dance,DNCE  101 - Introduction to Dance,43730,Cuauhtemoc Peranda,Arts Building 101,Mo 4:00PM - 6:50PM
Dance,DNCE  311 - Movement Improvisation,41197,Nhu Nguyen,Arts Building 101,TuTh 10:00AM - 10:50AM
Dance,DNCE  311 - Movement Improvisation,41198,Nhu Nguyen,Arts Building 101,TuTh 11:00AM - 11:50AM
Economics,ECON  202 - Principles of Macroeconomics,40604,Tahmina Morshed,Kellogg Library 1111,Fr 11:30AM - 2:20PM
Economics,ECON  301 - Intermediate Microeconomic Theory I,41425,Quinn Keefer,Soc & Behavioral Sci Bldg 2140,Mo 4:00PM - 6:50PM
Economics,ECON  302 - Intermediate Macroeconomic Theory,40605,Roger Arnold,Soc & Behavioral Sci Bldg 2140,Fr 9:30AM - 12:20PM
Economics,ECON  325 - Economics of the Environment and Natural Resources,41309,Robert Brown,Soc & Behavioral Sci Bldg 2140,We 9:30AM - 12:20PM
Economics,ECON  420 - Urban and Regional Economics,43864,Erica Freer,University Hall 440,TuTh 10:30AM - 11:45AM
Economics,ECON  441 - International Economics: Trade,43862,Ranjeeta Basu,Soc & Behavioral Sci Bldg 2140,TuTh 5:30PM - 6:45PM
Economics,ECON  471 - Econometrics,41426,Kaitlyn Woltz,Academic Hall 405,Tu 1:00PM - 3:50PM
Economics,ECON  471 - Econometrics,41427,Kaitlyn Woltz,Academic Hall 209,Th 2:00PM - 3:50PM
Educ Mult Subj Except Learners,EDMX  575 - Education Specialist - Transition Development Plan Seminar,40207,Shannon McAndrews,Synchronous Virtual Instr,Th 5:00PM - 6:50PM
Educ Mult Subj Except Learners,EDMX  627 - Assessment for Planning and Instruction,40259,Jodi Robledo,University Hall 444,We 5:30PM - 8:20PM
Educ Mult Subj Except Learners,EDMX  631 - Foundations in Law | Ethics | and Procedures of Special Education,40208,Jodi Robledo,University Hall 444,Mo 5:30PM - 8:20PM
Education,EDUC  364 - The Role of Cultural Diversity in Schooling,40397,Suzi Van Steenbergen,Markstein Hall 310,Mo 5:30PM - 8:20PM
Education,EDUC  364 - The Role of Cultural Diversity in Schooling,43602,Grace McField,Synchronous Virtual Instr,Th 5:30PM - 8:20PM
Education,EDUC  380 - Applied Child and Youth Development,43241,Jon Centofranchi,Markstein Hall 208,MoWe 9:00AM - 10:15AM
Education,EDUC  622 - Research Methods in Education,43928,Rebecca Brooks,Synchronous Virtual Instr,We 5:30PM - 8:20PM
Education,EDUC  653 - Biliteracy Education I: Contexts for Learning,40230,Ana Hernandez,Synchronous Virtual Instr,Mo 5:30PM - 8:20PM
